Iteration	CPUTime	PhysTime	Travels
1	2	0.000421916309	0.00984767767
2	3	0.000818525686	0.0196953553
3	3	0.0011658568	0.029543033
4	4	0.00148858776	0.0393907107
5	5	0.00180893366	0.0492383884
6	5	0.00237902594	0.059086066
7	6	0.00312686603	0.0689337437
8	6	0.00387189006	0.0787814214
9	7	0.00466364761	0.0886290991
10	7	0.00551521821	0.0984767767
11	8	0.00674340837	0.108324454
12	8	0.0079753888	0.118172132
13	9	0.00916277681	0.12801981
14	9	0.0103452636	0.137867487
15	10	0.0115285746	0.147715165
16	10	0.0130987525	0.157562843
17	11	0.0146008499	0.16741052
18	11	0.0160674849	0.177258198
19	12	0.0176108365	0.187105876
20	12	0.0192786492	0.196953553
21	13	0.0219474928	0.206801231
22	13	0.0249188623	0.216648909
23	13	0.0278246698	0.226496586
24	14	0.0309071035	0.236344264
25	14	0.0337906587	0.246191942
26	15	0.0381812028	0.25603962
27	15	0.0425558774	0.265887297
28	16	0.0460597307	0.275734975
29	16	0.0497756971	0.285582653
30	17	0.0531999711	0.29543033
31	18	0.0562426181	0.305278008
32	18	0.058425285	0.315125686
33	19	0.0612580485	0.324973363
34	19	0.0649332501	0.334821041
35	20	0.0679006061	0.344668719
36	20	0.0713195378	0.354516396
37	21	0.07465357	0.364364074
38	22	0.0778327393	0.374211752
39	22	0.0822346305	0.384059429
40	23	0.0877494204	0.393907107
41	24	0.0906217964	0.403754785
42	24	0.0950312378	0.413602462
43	25	0.0994652882	0.42345014
44	25	0.103520665	0.433297818
45	26	0.107468451	0.443145495
46	26	0.112526542	0.452993173
47	27	0.116719702	0.462840851
48	27	0.121927407	0.472688528
49	27	0.126779353	0.482536206
50	28	0.13203527	0.492383884
51	28	0.137546407	0.502231561
52	29	0.142872031	0.512079239
53	29	0.147248714	0.521926917
54	30	0.15220243	0.531774594
55	31	0.156077153	0.541622272
56	31	0.159357831	0.55146995
57	32	0.161383376	0.561317627
58	32	0.163208218	0.571165305
59	33	0.166342616	0.581012983
60	33	0.170116328	0.59086066
61	34	0.173580979	0.600708338
62	34	0.177128396	0.610556016
63	35	0.181846743	0.620403693
64	35	0.186837339	0.630251371
65	36	0.191946424	0.640099049
66	36	0.196141044	0.649946726
67	37	0.201261295	0.659794404
68	37	0.206593049	0.669642082
69	38	0.211747393	0.679489759
70	38	0.217073205	0.689337437
71	39	0.223364725	0.699185115
72	39	0.228647701	0.709032792
73	40	0.2336081	0.71888047
74	40	0.238608362	0.728728148
75	40	0.24406031	0.738575825
76	41	0.24986044	0.748423503
77	41	0.253906422	0.758271181
78	42	0.259373622	0.768118859
79	43	0.263572008	0.777966536
80	43	0.265214797	0.787814214
81	44	0.267293069	0.797661892
82	44	0.270319329	0.807509569
83	45	0.273678854	0.817357247
84	45	0.277191049	0.827204925
