Iteration	CPUTime	PhysTime	Travels
1	4	0	0.024630961
2	5	0	0.0492619221
3	5	0	0.0738928831
4	6	0	0.0985238441
5	6	0	0.123154805
6	7	0	0.147785766
7	7	0	0.172416727
8	8	0	0.197047688
9	8	0	0.221678649
10	9	0	0.24630961
11	9	0	0.270940571
12	10	0	0.295571532
13	10	0	0.320202493
14	11	0	0.344833455
15	11	0	0.369464416
16	12	0	0.394095377
17	12	0	0.418726338
18	12	0	0.443357299
19	13	0	0.46798826
20	13	0	0.492619221
21	14	0	0.517250182
22	14	0	0.541881143
23	15	0	0.566512104
24	15	0	0.591143065
25	15	0	0.615774026
26	16	0	0.640404987
27	16	0	0.665035948
28	17	0	0.689666909
29	17	0	0.71429787
30	17	0	0.738928831
31	18	0	0.763559792
32	18	0	0.788190753
33	19	0	0.812821714
34	19	0	0.837452675
35	20	0	0.862083636
36	20	0	0.886714597
37	20	0	0.911345558
38	21	0	0.935976519
39	21	0	0.96060748
40	22	0	0.985238441
41	22	0	1.0098694
42	22	0	1.03450036
43	23	0	1.05913132
44	23	0	1.08376229
45	24	0	1.10839325
46	24	0	1.13302421
47	24	0	1.15765517
48	25	0	1.18228613
49	25	0	1.20691709
50	26	0	1.23154805
51	26	0	1.25617901
52	26	0	1.28080997
53	27	0	1.30544093
54	27	0	1.3300719
55	28	0	1.35470286
56	28	0	1.37933382
57	28	0	1.40396478
58	29	0	1.42859574
59	29	0	1.4532267
60	30	0	1.47785766
61	30	0	1.50248862
62	31	0	1.52711958
63	31	0	1.55175055
64	31	0	1.57638151
65	32	0	1.60101247
66	32	0	1.62564343
67	33	0	1.65027439
68	33	0	1.67490535
69	33	0	1.69953631
70	34	0	1.72416727
