Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0.00019322221	0.00984767767	160.176895	160.176895	160.176895	160.176895	0	0	0	0	0	0	3
2	3	0.000380596769	0.0196953553	29.5696337	95.8766172	29.5696337	160.176895	64.3002774	0	0	0	0	0	3
3	3	0.000571449991	0.029543033	13.4433769	68.3455125	13.4433769	160.176895	91.8313821	0	0	0	0	0	3
4	4	0.00076616844	0.0393907107	7.42167271	52.8619778	7.42167271	160.176895	107.314917	0	0	0	0	0	3
5	4	0.000968963276	0.0492383884	9.37792249	43.7611769	7.42167271	160.176895	116.415718	0	0	0	0	0	3
6	5	0.00131808996	0.059086066	8.88940598	34.52458	7.42167271	160.176895	125.652315	0	0	0	0	0	3
7	5	0.00170667909	0.0689337437	10.944536	29.1557038	7.42167271	160.176895	131.021191	0	0	0	0	0	3
8	6	0.00208942805	0.0787814214	10.7850875	25.790508	7.42167271	160.176895	134.386387	0	0	0	0	0	3
9	6	0.00246700665	0.0886290991	11.397816	23.5876877	7.42167271	160.176895	136.589207	0	0	0	0	0	3
10	6	0.00285561827	0.0984767767	10.6778506	21.8308307	7.42167271	160.176895	138.346064	0	0	0	0	0	3
11	7	0.00348539229	0.108324454	12.2047301	20.0914948	7.42167271	160.176895	140.0854	0	0	0	0	0	3
12	7	0.00416906263	0.118172132	10.33586	18.4917016	7.42167271	160.176895	141.685193	0	0	0	0	0	3
13	7	0.00485602559	0.12801981	9.06250197	17.1577896	7.42167271	160.176895	143.019105	0	0	0	0	0	3
14	8	0.00551890491	0.137867487	9.64303267	16.2551871	7.42167271	160.176895	143.921708	0	0	0	0	0	3
15	8	0.00615692175	0.147715165	11.8837499	15.8021928	7.42167271	160.176895	144.374702	0	0	0	0	0	3
16	9	0.00709733485	0.157562843	10.9433224	15.1583814	7.42167271	160.176895	145.018513	0	0	0	0	0	3
17	9	0.00800229173	0.16741052	10.3408028	14.6135748	7.42167271	160.176895	145.56332	0	0	0	0	0	3
18	10	0.00897053477	0.177258198	10.1577326	14.1326293	7.42167271	160.176895	146.044265	0	0	0	0	0	3
19	10	0.00989490948	0.187105876	12.3274068	13.9639869	7.42167271	160.176895	146.212908	0	0	0	0	0	3
20	11	0.0106114603	0.196953553	11.2687029	13.7819848	7.42167271	160.176895	146.39491	0	0	0	0	0	3
21	11	0.0117909495	0.206801231	11.4242764	13.5461351	7.42167271	160.176895	146.63076	0	0	0	0	0	3
22	12	0.0127177908	0.216648909	10.0015016	13.2878109	7.42167271	160.176895	146.889084	0	0	0	0	0	3
23	12	0.0138600273	0.226496586	11.5845681	13.1474428	7.42167271	160.176895	147.029452	0	0	0	0	0	3
24	13	0.0149186673	0.236344264	10.9703058	12.9929515	7.42167271	160.176895	147.183943	0	0	0	0	0	3
25	13	0.015900547	0.246191942	12.6026613	12.9688506	7.42167271	160.176895	147.208044	0	0	0	0	0	3
26	14	0.0176774878	0.25603962	11.5005029	12.8212523	7.42167271	160.176895	147.355642	0	0	0	0	0	3
27	15	0.0182764837	0.265887297	10.331796	12.7396625	7.42167271	160.176895	147.437232	0	0	0	0	0	3
28	15	0.0189750303	0.275734975	12.208777	12.7201185	7.42167271	160.176895	147.456776	0	0	0	0	0	3
29	16	0.0199567878	0.285582653	13.9859649	12.7823907	7.42167271	160.176895	147.456776	0	0	0	0	0	3
30	16	0.0213879052	0.29543033	12.9031848	12.7904734	7.42167271	160.176895	147.456776	0	0	0	0	0	3
31	17	0.0227496075	0.305278008	12.2054571	12.7554566	7.42167271	160.176895	147.456776	0	0	0	0	0	3
32	17	0.0247030351	0.315125686	12.0094484	12.6964649	7.42167271	160.176895	147.48043	0	0	0	0	0	3
33	18	0.0269240731	0.324973363	11.5129847	12.5988365	7.42167271	160.176895	147.578058	0	0	0	0	0	3
34	18	0.0284308708	0.334821041	12.8969355	12.6146354	7.42167271	160.176895	147.578058	0	0	0	0	0	3
35	19	0.0307428609	0.344668719	9.5246389	12.3822549	7.42167271	160.176895	147.79464	0	0	0	0	0	3
36	19	0.0328027973	0.354516396	7.65273214	12.0852523	7.42167271	160.176895	148.091642	0	0	0	0	0	3
37	20	0.0350024639	0.364364074	4.20278275	11.5898927	4.20278275	160.176895	148.587002	0	0	0	0	0	3
38	20	0.0373997285	0.374211752	2.34598295	10.9973724	2.34598295	160.176895	149.179522	0	0	0	0	0	3
39	21	0.0397379433	0.384059429	3.06691905	10.5307377	2.34598295	160.176895	149.646157	0	0	0	0	0	3
40	21	0.0417591339	0.393907107	4.41760948	10.2348552	2.34598295	160.176895	149.942039	0	0	0	0	0	3
41	21	0.0445205612	0.403754785	5.92664797	9.96763484	2.34598295	160.176895	150.20926	0	0	0	0	0	3
42	22	0.0470539997	0.413602462	7.75021649	9.84824663	2.34598295	160.176895	150.328648	0	0	0	0	0	3
43	22	0.0494011457	0.42345014	10.5058618	9.87949123	2.34598295	160.176895	150.328648	0	0	0	0	0	3
44	23	0.0525113232	0.433297818	11.6817943	9.9862393	2.34598295	160.176895	150.328648	0	0	0	0	0	3
45	23	0.0553338412	0.443145495	11.5253814	10.0647492	2.34598295	160.176895	150.328648	0	0	0	0	0	3
46	23	0.0581785113	0.452993173	10.1771877	10.070247	2.34598295	160.176895	150.328648	0	0	0	0	0	3
47	24	0.0609373496	0.462840851	9.87970439	10.0616205	2.34598295	160.176895	150.328648	0	0	0	0	0	3
48	24	0.0638054619	0.472688528	10.1491221	10.0655538	2.34598295	160.176895	150.328648	0	0	0	0	0	3
49	25	0.066208871	0.482536206	10.7242983	10.0894665	2.34598295	160.176895	150.328648	0	0	0	0	0	3
50	25	0.0681340565	0.492383884	8.92752667	10.0566349	2.34598295	160.176895	150.328648	0	0	0	0	0	3
51	26	0.0698734821	0.502231561	10.8467703	10.0763044	2.34598295	160.176895	150.328648	0	0	0	0	0	3
52	26	0.0707348491	0.512079239	13.4187421	9.70597413	2.34598295	29.5696337	27.2236507	0	0	0	0	0	3
53	27	0.0716440907	0.521926917	13.8403295	9.7064959	2.34598295	13.9859649	11.639982	0	0	0	0	0	3
