Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0.000809382341	0.00984767767	293.200075	293.200075	293.200075	293.200075	0	0	0	0	0	0	3
2	4	0.00161689853	0.0196953553	293.200058	293.200067	293.200058	293.200075	8.29631841e-06	0	0	0	0	0	3
3	4	0.00242978434	0.029543033	293.200053	293.200062	293.200053	293.200075	1.30274806e-05	0	0	0	0	0	3
4	5	0.00326687598	0.0393907107	293.200105	293.200073	293.200053	293.200105	1.30274806e-05	0	0	0	0	0	3
5	5	0.00414998777	0.0492383884	293.200059	293.20007	293.200053	293.200105	1.30274806e-05	0	0	0	0	0	3
6	6	0.00566451773	0.059086066	293.200051	293.200065	293.200051	293.200105	1.30274806e-05	0	0	0	0	0	3
7	7	0.00736134355	0.0689337437	293.200059	293.200064	293.200051	293.200105	1.30274806e-05	0	0	0	0	0	3
8	7	0.00914497353	0.0787814214	293.20007	293.200065	293.200051	293.200105	1.30274806e-05	0	0	0	0	0	3
9	8	0.0109816008	0.0886290991	293.20005	293.200062	293.20005	293.200105	1.30274806e-05	0	0	0	0	0	3
10	8	0.0128004578	0.0984767767	293.200075	293.200064	293.20005	293.200105	1.30274806e-05	0	0	0	0	0	3
11	9	0.0155811051	0.108324454	293.200059	293.200063	293.20005	293.200105	1.30274806e-05	0	0	0	0	0	3
12	10	0.0184691227	0.118172132	293.20007	293.200064	293.20005	293.200105	1.30274806e-05	0	0	0	0	0	3
13	10	0.0212707132	0.12801981	293.200069	293.200065	293.20005	293.200105	1.30274806e-05	0	0	0	0	0	3
14	11	0.0230205547	0.137867487	293.200039	293.200063	293.200039	293.200105	1.30274806e-05	0	0	0	0	0	3
15	11	0.0250960085	0.147715165	293.20011	293.200067	293.200039	293.20011	1.30274806e-05	0	0	0	0	0	3
16	12	0.0271914969	0.157562843	293.200109	293.20007	293.200039	293.20011	1.30274806e-05	0	0	0	0	0	3
17	12	0.0291588964	0.16741052	293.200068	293.20007	293.200039	293.20011	1.30274806e-05	0	0	0	0	0	3
18	13	0.0312838937	0.177258198	293.20008	293.200071	293.200039	293.20011	1.30274806e-05	0	0	0	0	0	3
19	13	0.0342460077	0.187105876	293.200042	293.200068	293.200039	293.20011	1.30274806e-05	0	0	0	0	0	3
20	14	0.0379163134	0.196953553	293.200033	293.200065	293.200033	293.20011	1.30274806e-05	0	0	0	0	0	3
21	15	0.0436907648	0.206801231	293.200079	293.200067	293.200033	293.20011	1.30274806e-05	0	0	0	0	0	3
22	15	0.0491854995	0.216648909	293.200075	293.200068	293.200033	293.20011	1.30274806e-05	0	0	0	0	0	3
23	16	0.0554816481	0.226496586	293.200048	293.200065	293.200033	293.20011	1.30274806e-05	0	0	0	0	0	3
24	17	0.0615003582	0.236344264	293.200019	293.200061	293.200019	293.20011	1.43013153e-05	0	0	0	0	0	3
25	17	0.0691587993	0.246191942	293.20001	293.200055	293.20001	293.20011	1.98691679e-05	0	0	0	0	0	3
26	18	0.0800651135	0.25603962	293.200059	293.200056	293.20001	293.20011	1.98691679e-05	0	0	0	0	0	3
27	18	0.0854022336	0.265887297	293.200087	293.200058	293.20001	293.20011	1.98691679e-05	0	0	0	0	0	3
28	19	0.0953468715	0.275734975	293.200059	293.200058	293.20001	293.20011	1.98691679e-05	0	0	0	0	0	3
29	20	0.106216702	0.285582653	293.200074	293.200059	293.20001	293.20011	1.98691679e-05	0	0	0	0	0	3
30	20	0.113518992	0.29543033	293.200101	293.200062	293.20001	293.20011	1.98691679e-05	0	0	0	0	0	3
31	21	0.128418745	0.305278008	293.200078	293.200064	293.20001	293.20011	1.98691679e-05	0	0	0	0	0	3
32	21	0.136330775	0.315125686	293.200042	293.200063	293.20001	293.20011	1.98691679e-05	0	0	0	0	0	3
33	22	0.148065237	0.324973363	293.200039	293.200061	293.20001	293.20011	1.98691679e-05	0	0	0	0	0	3
34	22	0.164123941	0.334821041	293.200033	293.200058	293.20001	293.20011	1.98691679e-05	0	0	0	0	0	3
35	23	0.175592441	0.344668719	293.200037	293.200057	293.20001	293.20011	1.98691679e-05	0	0	0	0	0	3
36	23	0.191732622	0.354516396	293.200037	293.200055	293.20001	293.20011	2.00452338e-05	0	0	0	0	0	3
37	24	0.209127672	0.364364074	293.200038	293.200054	293.20001	293.20011	2.14988488e-05	0	0	0	0	0	3
38	24	0.219765795	0.374211752	293.200039	293.200053	293.20001	293.20011	2.21948394e-05	0	0	0	0	0	3
39	24	0.234536429	0.384059429	293.200033	293.200052	293.20001	293.20011	2.34392673e-05	0	0	0	0	0	3
40	25	0.249964985	0.393907107	293.200038	293.200051	293.20001	293.20011	2.42708738e-05	0	0	0	0	0	3
41	25	0.265853793	0.403754785	293.200048	293.200051	293.20001	293.20011	2.44463485e-05	0	0	0	0	0	3
42	26	0.281665248	0.413602462	293.20005	293.200051	293.20001	293.20011	2.44877699e-05	0	0	0	0	0	3
43	26	0.299146992	0.42345014	293.200055	293.200051	293.20001	293.20011	2.44877699e-05	0	0	0	0	0	3
44	27	0.312811119	0.433297818	293.200057	293.200051	293.20001	293.20011	2.44877699e-05	0	0	0	0	0	3
45	27	0.328301685	0.443145495	293.200083	293.200053	293.20001	293.20011	2.44877699e-05	0	0	0	0	0	3
46	28	0.337736919	0.452993173	293.20008	293.200053	293.20001	293.20011	2.44877699e-05	0	0	0	0	0	3
47	29	0.343687723	0.462840851	293.200092	293.200054	293.20001	293.20011	2.44877699e-05	0	0	0	0	0	3
48	29	0.349663935	0.472688528	293.200095	293.200055	293.20001	293.20011	2.44877699e-05	0	0	0	0	0	3
49	30	0.359308548	0.482536206	293.200104	293.200056	293.20001	293.20011	2.44877699e-05	0	0	0	0	0	3
50	30	0.370567784	0.492383884	293.200075	293.200057	293.20001	293.20011	2.44877699e-05	0	0	0	0	0	3
51	31	0.382313165	0.502231561	293.200085	293.200058	293.20001	293.20011	2.44877699e-05	0	0	0	0	0	3
52	32	0.393243956	0.512079239	293.200086	293.200058	293.20001	293.20011	2.24491427e-05	0	0	0	0	0	3
53	32	0.402748248	0.521926917	293.200086	293.200059	293.20001	293.20011	2.24491427e-05	0	0	0	0	0	3
54	33	0.414192511	0.531774594	293.200058	293.200059	293.20001	293.20011	2.24491427e-05	0	0	0	0	0	3
55	33	0.424188802	0.541622272	293.200112	293.20006	293.20001	293.200112	2.00281445e-05	0	0	0	0	0	3
56	34	0.435662225	0.55146995	293.200092	293.200061	293.20001	293.200112	2.00281445e-05	0	0	0	0	0	3
57	34	0.450151169	0.561317627	293.200068	293.200061	293.20001	293.200112	2.00281445e-05	0	0	0	0	0	3
58	35	0.463216619	0.571165305	293.200062	293.200061	293.20001	293.200112	2.00281445e-05	0	0	0	0	0	3
59	35	0.479834223	0.581012983	293.20005	293.200061	293.20001	293.200112	2.00281445e-05	0	0	0	0	0	3
60	36	0.494550099	0.59086066	293.200045	293.20006	293.20001	293.200112	2.00281445e-05	0	0	0	0	0	3
61	36	0.508377411	0.600708338	293.200036	293.20006	293.20001	293.200112	2.00281445e-05	0	0	0	0	0	3
