Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0.000809382341	0.00984767767	101179.291	101179.291	101179.291	101179.291	0	0	0	0	0	0	3
2	4	0.00161689853	0.0196953553	101254.234	101216.719	101179.291	101254.234	37.4281388	0	0	0	0	0	3
3	4	0.00242978434	0.029543033	101280.655	101238.109	101179.291	101280.655	58.8178349	0	0	0	0	0	3
4	5	0.00326687598	0.0393907107	101045.517	101188.76	101045.517	101280.655	58.8178349	0	0	0	0	0	3
5	5	0.00414998777	0.0492383884	101254.617	101202.774	101045.517	101280.655	58.8178349	0	0	0	0	0	3
6	6	0.00566451773	0.059086066	101290.99	101226.361	101045.517	101290.99	58.8178349	0	0	0	0	0	3
7	7	0.00736134355	0.0689337437	101251.92	101232.252	101045.517	101290.99	58.8178349	0	0	0	0	0	3
8	7	0.00914497353	0.0787814214	101203.099	101226.566	101045.517	101290.99	58.8178349	0	0	0	0	0	3
9	8	0.0109816008	0.0886290991	101295.12	101238.032	101045.517	101295.12	58.8178349	0	0	0	0	0	3
10	8	0.0128004578	0.0984767767	101181.84	101230.047	101045.517	101295.12	58.8178349	0	0	0	0	0	3
11	9	0.0155811051	0.108324454	101255.257	101234.546	101045.517	101295.12	58.8178349	0	0	0	0	0	3
12	10	0.0184691227	0.118172132	101206.016	101230.085	101045.517	101295.12	58.8178349	0	0	0	0	0	3
13	10	0.0212707132	0.12801981	101211.939	101227.695	101045.517	101295.12	58.8178349	0	0	0	0	0	3
14	11	0.0230205547	0.137867487	101347.926	101236.834	101045.517	101347.926	58.8178349	0	0	0	0	0	3
15	11	0.0250960085	0.147715165	101026.241	101219.418	101026.241	101347.926	58.8178349	0	0	0	0	0	3
16	12	0.0271914969	0.157562843	101033.546	101205.094	101026.241	101347.926	58.8178349	0	0	0	0	0	3
17	12	0.0291588964	0.16741052	101217.138	101205.906	101026.241	101347.926	58.8178349	0	0	0	0	0	3
18	13	0.0312838937	0.177258198	101163.986	101203.059	101026.241	101347.926	58.8178349	0	0	0	0	0	3
19	13	0.0342460077	0.187105876	101336.984	101214.643	101026.241	101347.926	58.8178349	0	0	0	0	0	3
20	14	0.0379163134	0.196953553	101378.321	101230.487	101026.241	101378.321	58.8178349	0	0	0	0	0	3
21	15	0.0436907648	0.206801231	101173.626	101222.972	101026.241	101378.321	58.8178349	0	0	0	0	0	3
22	15	0.0491854995	0.216648909	101193.115	101219.636	101026.241	101378.321	58.8178349	0	0	0	0	0	3
23	16	0.0554816481	0.226496586	101316.85	101230.668	101026.241	101378.321	58.8178349	0	0	0	0	0	3
24	17	0.0615003582	0.236344264	101447.308	101251.87	101026.241	101447.308	72.5783895	0	0	0	0	0	3
25	17	0.0691587993	0.246191942	101487.283	101277.939	101026.241	101487.283	98.6473907	0	0	0	0	0	3
26	18	0.0800651135	0.25603962	101270.085	101276.869	101026.241	101487.283	98.6473907	0	0	0	0	0	3
27	18	0.0854022336	0.265887297	101149.096	101268.884	101026.241	101487.283	98.6473907	0	0	0	0	0	3
28	19	0.0953468715	0.275734975	101276.084	101269.635	101026.241	101487.283	98.6473907	0	0	0	0	0	3
29	20	0.106216702	0.285582653	101209.674	101263.499	101026.241	101487.283	98.6473907	0	0	0	0	0	3
30	20	0.113518992	0.29543033	101089.292	101252.292	101026.241	101487.283	98.6473907	0	0	0	0	0	3
31	21	0.128418745	0.305278008	101186.932	101244.709	101026.241	101487.283	98.6473907	0	0	0	0	0	3
32	21	0.136330775	0.315125686	101353.161	101251.003	101026.241	101487.283	98.6473907	0	0	0	0	0	3
33	22	0.148065237	0.324973363	101363.102	101259.887	101026.241	101487.283	98.6473907	0	0	0	0	0	3
34	22	0.164123941	0.334821041	101394.608	101273.069	101026.241	101487.283	98.6473907	0	0	0	0	0	3
35	23	0.175592441	0.344668719	101376.439	101279.82	101026.241	101487.283	100.529032	0	0	0	0	0	3
36	23	0.191732622	0.354516396	101381.792	101288.404	101026.241	101487.283	109.11305	0	0	0	0	0	3
37	24	0.209127672	0.364364074	101381.055	101296.111	101026.241	101487.283	116.81968	0	0	0	0	0	3
38	24	0.219765795	0.374211752	101375.851	101299.971	101026.241	101487.283	120.679632	0	0	0	0	0	3
39	24	0.234536429	0.384059429	101406.726	101306.694	101026.241	101487.283	127.402862	0	0	0	0	0	3
40	25	0.249964985	0.393907107	101387.558	101311.685	101026.241	101487.283	132.394039	0	0	0	0	0	3
41	25	0.265853793	0.403754785	101347.305	101313.814	101026.241	101487.283	134.522868	0	0	0	0	0	3
42	26	0.281665248	0.413602462	101341.791	101315.385	101026.241	101487.283	136.093378	0	0	0	0	0	3
43	26	0.299146992	0.42345014	101325.301	101315.964	101026.241	101487.283	136.6729	0	0	0	0	0	3
44	27	0.312811119	0.433297818	101315.608	101315.949	101026.241	101487.283	136.6729	0	0	0	0	0	3
45	27	0.328301685	0.443145495	101204.54	101310.692	101026.241	101487.283	136.6729	0	0	0	0	0	3
46	28	0.337736919	0.452993173	101216.368	101308.057	101026.241	101487.283	136.6729	0	0	0	0	0	3
47	29	0.343687723	0.462840851	101166.6	101305.608	101026.241	101487.283	136.6729	0	0	0	0	0	3
48	29	0.349663935	0.472688528	101152.802	101302.996	101026.241	101487.283	136.6729	0	0	0	0	0	3
49	30	0.359308548	0.482536206	101112.746	101297.889	101026.241	101487.283	136.6729	0	0	0	0	0	3
50	30	0.370567784	0.492383884	101247.008	101296.343	101026.241	101487.283	136.6729	0	0	0	0	0	3
51	31	0.382313165	0.502231561	101204.587	101293.524	101026.241	101487.283	136.6729	0	0	0	0	0	3
52	32	0.393243956	0.512079239	101200.505	101291.169	101026.241	101487.283	127.204083	0	0	0	0	0	3
53	32	0.402748248	0.521926917	101206.8	101289.244	101026.241	101487.283	127.204083	0	0	0	0	0	3
54	33	0.414192511	0.531774594	101332.377	101290.46	101026.241	101487.283	127.204083	0	0	0	0	0	3
55	33	0.424188802	0.541622272	101093.465	101286.269	101026.241	101487.283	113.189817	0	0	0	0	0	3
56	34	0.435662225	0.55146995	101183.001	101283.588	101026.241	101487.283	112.90533	0	0	0	0	0	3
57	34	0.450151169	0.561317627	101291.73	101283.828	101026.241	101487.283	112.90533	0	0	0	0	0	3
58	35	0.463216619	0.571165305	101316.405	101284.881	101026.241	101487.283	112.90533	0	0	0	0	0	3
59	35	0.479834223	0.581012983	101374.129	101288.341	101026.241	101487.283	112.90533	0	0	0	0	0	3
60	36	0.494550099	0.59086066	101395.922	101291.589	101026.241	101487.283	112.90533	0	0	0	0	0	3
61	36	0.508377411	0.600708338	101437.7	101296.069	101026.241	101487.283	112.90533	0	0	0	0	0	3
62	37	0.524759456	0.610556016	101444.726	101301.075	101026.241	101487.283	112.90533	0	0	0	0	0	3
63	37	0.537565669	0.620403693	101433.318	101304.866	101026.241	101487.283	112.90533	0	0	0	0	0	3
64	37	0.551352682	0.630251371	101440.348	101308.881	101026.241	101487.283	112.90533	0	0	0	0	0	3
65	38	0.567276475	0.640099049	101405.706	101311.588	101026.241	101487.283	112.90533	0	0	0	0	0	3
66	38	0.58492576	0.649946726	101354.905	101314.012	101033.546	101487.283	112.90533	0	0	0	0	0	3
67	39	0.601114561	0.659794404	101345.696	101315.93	101089.292	101487.283	112.90533	0	0	0	0	0	3
68	40	0.618629341	0.669642082	101336.261	101316.863	101089.292	101487.283	113.804503	0	0	0	0	0	3
69	40	0.633838546	0.679489759	101261.137	101315.996	101089.292	101487.283	102.22065	0	0	0	0	0	3
70	41	0.646401734	0.689337437	101197.367	101313.46	101089.292	101487.283	97.227095	0	0	0	0	0	3
71	41	0.657286765	0.699185115	101200.026	101311.082	101089.292	101487.283	97.227095	0	0	0	0	0	3
72	42	0.664395769	0.709032792	101211.624	101311.222	101089.292	101487.283	97.227095	0	0	0	0	0	3
73	42	0.674059213	0.71888047	101190.677	101310.396	101089.292	101487.283	86.1950813	0	0	0	0	0	3
74	43	0.686367239	0.728728148	101294.687	101310.025	101089.292	101487.283	72.1543242	0	0	0	0	0	3
75	44	0.699039378	0.738575825	101291.893	101308.369	101089.292	101487.283	72.1543242	0	0	0	0	0	3
76	44	0.71170579	0.748423503	101282.456	101305.725	101089.292	101444.726	72.1543242	0	0	0	0	0	3
77	45	0.723561198	0.758271181	101228.198	101304.901	101089.292	101444.726	72.1543242	0	0	0	0	0	3
78	46	0.738847641	0.768118859	101314.583	101306.4	101089.292	101444.726	72.1543242	0	0	0	0	0	3
79	46	0.751245354	0.777966536	101178.612	101304.444	101089.292	101444.726	72.1543242	0	0	0	0	0	3
80	47	0.764637689	0.787814214	101280.353	101305.519	101089.292	101444.726	72.1543242	0	0	0	0	0	3
81	47	0.779431179	0.797661892	101347.378	101308.82	101093.465	101444.726	72.1543242	0	0	0	0	0	3
82	48	0.793226134	0.807509569	101353.963	101312.488	101093.465	101444.726	65.8602783	0	0	0	0	0	3
83	48	0.80942026	0.817357247	101372.658	101313.458	101093.465	101444.726	56.9762146	0	0	0	0	0	3
84	48	0.821773756	0.827204925	101392.908	101314.05	101093.465	101444.726	43.7944528	0	0	0	0	0	3
85	49	0.839140405	0.837052602	101414.331	101314.714	101093.465	101444.726	37.0430398	0	0	0	0	0	3
86	49	0.850869752	0.84690028	101420.019	101315.494	101093.465	101444.726	33.275489	0	0	0	0	0	3
87	50	0.864940998	0.856747958	101419.097	101316.07	101093.465	101444.726	33.275489	0	0	0	0	0	3
88	50	0.880786456	0.866595635	101396.373	101316.282	101093.465	101444.726	33.275489	0	0	0	0	0	3
89	51	0.897530386	0.876443313	101347.538	101316.119	101093.465	101444.726	33.275489	0	0	0	0	0	3
90	51	0.913668955	0.886290991	101330.388	101314.487	101093.465	101444.726	33.275489	0	0	0	0	0	3
91	52	0.930690778	0.896138668	101311.086	101312.746	101093.465	101444.726	33.275489	0	0	0	0	0	3
92	52	0.94234112	0.905986346	101293.06	101311.596	101093.465	101444.726	33.275489	0	0	0	0	0	3
93	53	0.953868635	0.915834024	101215.173	101309.232	101093.465	101444.726	33.275489	0	0	0	0	0	3
94	53	0.966891614	0.925681701	101244.428	101307.547	101093.465	101444.726	33.275489	0	0	0	0	0	3
95	54	0.973826974	0.935529379	101189.649	101306.144	101093.465	101444.726	33.275489	0	0	0	0	0	3
96	55	0.983640643	0.945377057	101326.958	101308.857	101093.465	101444.726	33.275489	0	0	0	0	0	3
97	55	0.993567067	0.955224734	101266.397	101309.545	101093.465	101444.726	33.275489	0	0	0	0	0	3
98	56	1	0.965072412	101421.234	101311.936	101093.465	101444.726	33.275489	0	0	0	0	0	3
