Iteration	CPUTime	PhysTime	Travels
1	4	0	0.025
2	5	0	0.05
3	5	0	0.075
4	5	0	0.1
5	6	0	0.125
6	6	0	0.15
7	6	0	0.175
8	7	0	0.2
9	7	0	0.225
10	7	0	0.25
11	8	0	0.275
12	8	0	0.3
13	8	0	0.325
14	9	0	0.35
15	9	0	0.375
16	10	0	0.4
17	10	0	0.425
18	10	0	0.45
19	11	0	0.475
20	11	0	0.5
21	11	0	0.525
22	12	0	0.55
23	12	0	0.575
24	12	0	0.6
25	13	0	0.625
26	13	0	0.65
27	13	0	0.675
28	14	0	0.7
29	14	0	0.725
30	14	0	0.75
31	15	0	0.775
32	15	0	0.8
33	15	0	0.825
34	16	0	0.85
35	16	0	0.875
36	16	0	0.9
37	17	0	0.925
38	17	0	0.95
39	18	0	0.975
40	18	0	1
