Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	PrevAvRefValue	Progress	CriteriaType	CriteriaVarType	CriteriaPercentage
1	3	0.000187504834	0.00984767767	-0.00227782339	-0.00227782339	-0.00227782339	-0.00227782339	0	0	0	0	0	0	3
2	4	0.00037087218	0.0196953553	-0.00227842139	-0.00227811905	-0.00227842139	-0.00227782339	2.95664761e-07	0	0	0	0	0	3
3	5	0.000551517441	0.029543033	-0.00220280178	-0.00225344946	-0.00227842139	-0.00220280178	2.46695882e-05	0	0	0	0	0	3
4	5	0.00073197824	0.0393907107	-0.00216630165	-0.00223196417	-0.00227842139	-0.00216630165	4.61548782e-05	0	0	0	0	0	3
5	6	0.000923820617	0.0492383884	-0.0022805458	-0.00224205273	-0.0022805458	-0.00216630165	4.61548782e-05	0	0	0	0	0	3
6	7	0.00126214981	0.059086066	-0.00238466677	-0.00228028155	-0.00238466677	-0.00216630165	4.83173734e-05	0	0	0	0	0	3
7	7	0.0016506141	0.0689337437	-0.00259007308	-0.00235318953	-0.00259007308	-0.00216630165	0.000121225358	0	0	0	0	0	3
8	8	0.00205722973	0.0787814214	-0.00254148616	-0.00239040674	-0.00259007308	-0.00216630165	0.000158442568	0	0	0	0	0	3
9	9	0.00246504433	0.0886290991	-0.00286568641	-0.00246903656	-0.00286568641	-0.00216630165	0.000237072385	0	0	0	0	0	3
10	9	0.00287595495	0.0984767767	-0.00302828214	-0.00254894043	-0.00302828214	-0.00216630165	0.000316976263	0	0	0	0	0	3
11	10	0.00351205838	0.108324454	-0.00243080964	-0.0025275446	-0.00302828214	-0.00216630165	0.000316976263	0	0	0	0	0	3
12	11	0.00420971329	0.118172132	-0.00289045756	-0.00258768837	-0.00302828214	-0.00216630165	0.000355724197	0	0	0	0	0	3
13	11	0.00492048413	0.12801981	-0.00281982851	-0.00262122134	-0.00302828214	-0.00216630165	0.000389257166	0	0	0	0	0	3
14	12	0.00567247201	0.137867487	-0.00262527396	-0.00262175859	-0.00302828214	-0.00216630165	0.000389794413	0	0	0	0	0	3
15	12	0.00650913531	0.147715165	-0.00274177203	-0.00263718473	-0.00302828214	-0.00216630165	0.000405220555	0	0	0	0	0	3
16	13	0.00780993695	0.157562843	-0.00309003593	-0.00271261038	-0.00309003593	-0.00216630165	0.000480646208	0	0	0	0	0	3
17	14	0.00904087654	0.16741052	-0.00262398331	-0.00270054357	-0.00309003593	-0.00216630165	0.000480646208	0	0	0	0	0	3
18	14	0.0101581185	0.177258198	-0.0020531824	-0.00262934346	-0.00309003593	-0.0020531824	0.000480646208	0	0	0	0	0	3
19	15	0.0111482278	0.187105876	-0.00206319737	-0.00257906224	-0.00309003593	-0.0020531824	0.000480646208	0	0	0	0	0	3
20	15	0.0124559939	0.196953553	-0.0023457075	-0.00255456212	-0.00309003593	-0.0020531824	0.000480646208	0	0	0	0	0	3
21	16	0.0145199302	0.206801231	-0.00305487759	-0.00262567949	-0.00309003593	-0.0020531824	0.000480646208	0	0	0	0	0	3
22	17	0.0169984923	0.216648909	-0.00293739034	-0.00267113027	-0.00309003593	-0.0020531824	0.000480646208	0	0	0	0	0	3
23	17	0.0191914434	0.226496586	-0.00312260803	-0.00272271934	-0.00312260803	-0.0020531824	0.000490755164	0	0	0	0	0	3
24	18	0.0217763529	0.236344264	-0.00248988535	-0.00269508134	-0.00312260803	-0.0020531824	0.000490755164	0	0	0	0	0	3
25	18	0.0231420368	0.246191942	-0.00230521002	-0.00267207381	-0.00312260803	-0.0020531824	0.000490755164	0	0	0	0	0	3
26	19	0.0258547242	0.25603962	-0.0021442333	-0.00261669259	-0.00312260803	-0.0020531824	0.000490755164	0	0	0	0	0	3
27	19	0.0278804573	0.265887297	-0.00194602942	-0.00256796367	-0.00312260803	-0.00194602942	0.000490755164	0	0	0	0	0	3
28	20	0.0299997805	0.275734975	-0.00216476292	-0.0025394797	-0.00312260803	-0.00194602942	0.000490755164	0	0	0	0	0	3
29	20	0.0324741288	0.285582653	-0.00264773024	-0.00254772779	-0.00312260803	-0.00194602942	0.000490755164	0	0	0	0	0	3
30	20	0.0352134865	0.29543033	-0.00296807356	-0.00258042769	-0.00312260803	-0.00194602942	0.000490755164	0	0	0	0	0	3
31	21	0.0388169067	0.305278008	-0.00327206028	-0.00264463278	-0.00327206028	-0.00194602942	0.000490755164	0	0	0	0	0	3
32	21	0.0430319779	0.315125686	-0.00378711942	-0.00275654171	-0.00378711942	-0.00194602942	0.000524577534	0	0	0	0	0	3
33	22	0.0465632746	0.324973363	-0.00431818332	-0.00287497452	-0.00431818332	-0.00194602942	0.000643010352	0	0	0	0	0	3
34	22	0.0496613494	0.334821041	-0.00472398072	-0.00299032297	-0.00472398072	-0.00194602942	0.000758358797	0	0	0	0	0	3
35	23	0.0531469905	0.344668719	-0.00520270745	-0.00313542203	-0.00520270745	-0.00194602942	0.000903457857	0	0	0	0	0	3
36	23	0.0568472464	0.354516396	-0.00562367088	-0.00329738515	-0.00562367088	-0.00194602942	0.00106542098	0	0	0	0	0	3
37	24	0.060749512	0.364364074	-0.00563621368	-0.0034476206	-0.00563621368	-0.00194602942	0.00121565643	0	0	0	0	0	3
38	24	0.0646868567	0.374211752	-0.00577578319	-0.00358933066	-0.00577578319	-0.00194602942	0.00135736649	0	0	0	0	0	3
39	24	0.0689378284	0.384059429	-0.00582182681	-0.00372699496	-0.00582182681	-0.00194602942	0.00149503079	0	0	0	0	0	3
40	25	0.072688488	0.393907107	-0.0049568434	-0.00379045402	-0.00582182681	-0.00194602942	0.00155848985	0	0	0	0	0	3
41	26	0.0758202094	0.403754785	-0.00377836915	-0.00378995486	-0.00582182681	-0.00194602942	0.00155848985	0	0	0	0	0	3
42	26	0.0776129354	0.413602462	-0.00329834726	-0.00377859956	-0.00582182681	-0.00194602942	0.00155848985	0	0	0	0	0	3
