Iteration	CPUTime	PhysTime	Travels
1	3	0.000187504834	0.00984767767
2	4	0.00037087218	0.0196953553
3	5	0.000551517441	0.029543033
4	5	0.00073197824	0.0393907107
5	6	0.000923820617	0.0492383884
6	7	0.00126214981	0.059086066
7	7	0.0016506141	0.0689337437
8	8	0.00205722973	0.0787814214
9	9	0.00246504433	0.0886290991
10	9	0.00287595495	0.0984767767
11	10	0.00351205838	0.108324454
12	11	0.00420971329	0.118172132
13	11	0.00492048413	0.12801981
14	12	0.00567247201	0.137867487
15	12	0.00650913531	0.147715165
16	13	0.00780993695	0.157562843
17	14	0.00904087654	0.16741052
18	14	0.0101581185	0.177258198
19	15	0.0111482278	0.187105876
20	15	0.0124559939	0.196953553
21	16	0.0145199302	0.206801231
22	17	0.0169984923	0.216648909
23	17	0.0191914434	0.226496586
24	18	0.0217763529	0.236344264
25	18	0.0231420368	0.246191942
26	19	0.0258547242	0.25603962
27	19	0.0278804573	0.265887297
28	20	0.0299997805	0.275734975
29	20	0.0324741288	0.285582653
30	20	0.0352134865	0.29543033
31	21	0.0388169067	0.305278008
32	21	0.0430319779	0.315125686
33	22	0.0465632746	0.324973363
34	22	0.0496613494	0.334821041
35	23	0.0531469905	0.344668719
36	23	0.0568472464	0.354516396
37	24	0.060749512	0.364364074
38	24	0.0646868567	0.374211752
39	24	0.0689378284	0.384059429
40	25	0.072688488	0.393907107
41	26	0.0758202094	0.403754785
42	26	0.0776129354	0.413602462
43	27	0.079259393	0.42345014
44	27	0.0813483603	0.433297818
45	28	0.0839788925	0.443145495
46	28	0.0854988066	0.452993173
47	29	0.0880847982	0.462840851
48	29	0.0903777953	0.472688528
49	30	0.0926122799	0.482536206
50	30	0.0956388844	0.492383884
51	31	0.0997805486	0.502231561
52	31	0.102923199	0.512079239
53	32	0.106555066	0.521926917
54	32	0.108572559	0.531774594
55	33	0.112080061	0.541622272
56	33	0.116203229	0.55146995
57	34	0.11888086	0.561317627
58	34	0.123541165	0.571165305
59	35	0.126250441	0.581012983
60	35	0.130695681	0.59086066
61	35	0.135040193	0.600708338
62	36	0.139505396	0.610556016
63	36	0.14374839	0.620403693
64	37	0.146451239	0.630251371
65	37	0.149800872	0.640099049
66	38	0.152825961	0.649946726
67	39	0.15583218	0.659794404
68	39	0.156462715	0.669642082
69	40	0.157806368	0.679489759
70	40	0.160511438	0.689337437
71	41	0.163185997	0.699185115
72	41	0.166402916	0.709032792
73	42	0.169787325	0.71888047
74	42	0.172238067	0.728728148
75	43	0.175762631	0.738575825
76	43	0.178442085	0.748423503
77	44	0.181365526	0.758271181
78	45	0.185477603	0.768118859
79	45	0.188594487	0.777966536
80	45	0.192184499	0.787814214
81	46	0.196453996	0.797661892
82	46	0.199746224	0.807509569
83	47	0.202315436	0.817357247
84	47	0.205692724	0.827204925
85	47	0.209148876	0.837052602
86	48	0.213007807	0.84690028
87	48	0.217136775	0.856747958
88	49	0.2210823	0.866595635
89	49	0.225334184	0.876443313
90	50	0.229093718	0.886290991
91	50	0.232073448	0.896138668
92	51	0.234666723	0.905986346
93	52	0.235925444	0.915834024
94	52	0.238428176	0.925681701
95	53	0.241238934	0.935529379
96	53	0.24332038	0.945377057
97	54	0.246672184	0.955224734
98	55	0.249096114	0.965072412
99	55	0.253070008	0.97492009
100	56	0.256525748	0.984767767
101	57	0.259950591	0.994615445
102	57	0.262694939	1.00446312
103	58	0.265063504	1.0143108
104	58	0.269417591	1.02415848
105	59	0.272532103	1.03400616
106	59	0.275882636	1.04385383
107	59	0.279054026	1.05370151
108	60	0.282674876	1.06354919
109	60	0.286349812	1.07339687
110	61	0.290255194	1.08324454
111	61	0.294246278	1.09309222
112	61	0.298135017	1.1029399
113	62	0.302512578	1.11278758
114	63	0.306504241	1.12263525
