Iteration	CPUTime	PhysTime	Travels
1	3	0.000171001836	0.00984767767
2	3	0.000331710224	0.0196953553
3	4	0.000488878734	0.029543033
4	4	0.000643661688	0.0393907107
5	5	0.000801443904	0.0492383884
6	5	0.00107003424	0.059086066
7	5	0.0013851141	0.0689337437
8	6	0.00173024776	0.0787814214
9	6	0.00208106873	0.0886290991
10	7	0.00244932859	0.0984767767
11	7	0.00300443486	0.108324454
12	8	0.00354422222	0.118172132
13	8	0.00408180258	0.12801981
14	9	0.00461731342	0.137867487
15	9	0.0050994637	0.147715165
16	10	0.00562450728	0.157562843
17	10	0.00611401693	0.16741052
18	11	0.00666296052	0.177258198
19	12	0.00733664098	0.187105876
20	12	0.007962789	0.196953553
21	13	0.00897365026	0.206801231
22	13	0.00989405776	0.216648909
23	14	0.0103586548	0.226496586
24	15	0.0108371262	0.236344264
25	15	0.0112200883	0.246191942
26	16	0.0118385858	0.25603962
27	16	0.012825171	0.265887297
28	17	0.0140127618	0.275734975
29	17	0.014891468	0.285582653
30	18	0.01620345	0.29543033
31	18	0.0181945626	0.305278008
32	19	0.0204151633	0.315125686
33	20	0.0219395162	0.324973363
34	20	0.0243300956	0.334821041
35	20	0.0252528937	0.344668719
36	21	0.0275890882	0.354516396
37	21	0.0294179899	0.364364074
38	22	0.0316427054	0.374211752
39	22	0.0340597306	0.384059429
40	23	0.0358949734	0.393907107
41	23	0.03761349	0.403754785
42	24	0.0398581686	0.413602462
43	24	0.0418886315	0.42345014
44	25	0.0440099962	0.433297818
45	25	0.0462783759	0.443145495
46	26	0.0486528739	0.452993173
47	26	0.0502267998	0.462840851
48	27	0.0525414327	0.472688528
49	27	0.0542511769	0.482536206
50	28	0.0553920146	0.492383884
51	28	0.056142207	0.502231561
52	29	0.0569837923	0.512079239
53	30	0.0586247094	0.521926917
54	30	0.0596820105	0.531774594
55	31	0.0613649362	0.541622272
56	31	0.0616321404	0.55146995
57	32	0.062492664	0.561317627
58	32	0.0632192593	0.571165305
59	33	0.0640064671	0.581012983
60	33	0.0648524845	0.59086066
61	34	0.0655942157	0.600708338
62	34	0.0665950679	0.610556016
63	35	0.0675428314	0.620403693
64	36	0.0686213274	0.630251371
65	37	0.069671385	0.640099049
66	37	0.0714644078	0.649946726
67	38	0.072644538	0.659794404
68	38	0.0738764011	0.669642082
69	39	0.0758249122	0.679489759
70	39	0.077159036	0.689337437
71	40	0.0789742696	0.699185115
72	40	0.0810194402	0.709032792
73	40	0.0828057227	0.71888047
74	41	0.084924187	0.728728148
75	41	0.0871784155	0.738575825
76	42	0.0895336111	0.748423503
77	42	0.0919824422	0.758271181
78	43	0.0942044898	0.768118859
79	43	0.0956288114	0.777966536
80	44	0.0970884216	0.787814214
81	44	0.0989238183	0.797661892
82	45	0.100269765	0.807509569
83	45	0.100965641	0.817357247
84	46	0.101765254	0.827204925
85	46	0.10324547	0.837052602
86	47	0.104892294	0.84690028
87	48	0.106472237	0.856747958
88	48	0.108475571	0.866595635
89	49	0.110239065	0.876443313
90	49	0.112476502	0.886290991
91	50	0.114549979	0.896138668
92	50	0.116355026	0.905986346
93	51	0.118618292	0.915834024
94	51	0.119795205	0.925681701
95	51	0.121754244	0.935529379
96	52	0.124059027	0.945377057
97	52	0.125862081	0.955224734
98	53	0.12804952	0.965072412
99	53	0.130160979	0.97492009
100	54	0.132432475	0.984767767
101	55	0.134790042	0.994615445
102	55	0.136969736	1.00446312
103	55	0.139480356	1.0143108
104	56	0.141782141	1.02415848
105	57	0.143367784	1.03400616
106	57	0.144930867	1.04385383
107	58	0.145724966	1.05370151
108	58	0.146556352	1.06354919
109	59	0.147848201	1.07339687
110	59	0.149410781	1.08324454
111	60	0.151005734	1.09309222
112	60	0.152595452	1.1029399
113	61	0.154132809	1.11278758
114	61	0.156026464	1.12263525
115	62	0.157990846	1.13248293
116	62	0.159510527	1.14233061
117	63	0.161638966	1.15217829
118	63	0.163632742	1.16202597
119	64	0.1657748	1.17187364
120	64	0.167856485	1.18172132
121	65	0.169851676	1.191569
122	65	0.172660453	1.20141668
123	65	0.174485086	1.21126435
124	66	0.176864464	1.22111203
125	66	0.179114308	1.23095971
126	67	0.181480945	1.24080739
127	67	0.184026171	1.25065506
128	68	0.186123033	1.26050274
129	68	0.188023411	1.27035042
130	69	0.189463818	1.2801981
131	69	0.190335741	1.29004578
132	70	0.191194276	1.29989345
133	70	0.192384939	1.30974113
134	71	0.193986386	1.31958881
135	72	0.195542456	1.32943649
