Iteration	CPUTime	PhysTime	Travels
1	11	0.00223819572	0.00817963663
2	14	0.00258031351	0.0163592733
3	17	0.00302177552	0.0245389099
4	19	0.00355342751	0.0327185465
5	21	0.00410922047	0.0408981832
6	23	0.00516516245	0.0490778198
7	25	0.00636679793	0.0572574564
8	27	0.00759524009	0.0654370931
9	29	0.00878362715	0.0736167297
10	32	0.0099800313	0.0817963663
11	33	0.0117337301	0.0899760029
12	35	0.0133232266	0.0981556396
13	37	0.0149195508	0.106335276
14	39	0.0164399119	0.114514913
15	41	0.0179447415	0.122694549
16	43	0.0200806789	0.130874186
17	45	0.022015457	0.139053823
18	47	0.0238804564	0.147233459
19	49	0.025715145	0.155413096
20	51	0.0275240418	0.163592733
21	53	0.0302155906	0.171772369
22	54	0.0327672172	0.179952006
23	56	0.0352126386	0.188131643
24	58	0.0375676136	0.196311279
25	60	0.0398508581	0.204490916
26	61	0.0431272339	0.212670552
27	63	0.046372255	0.220850189
28	65	0.0496215519	0.229029826
29	67	0.0528183781	0.237209462
30	69	0.0559385099	0.245389099
31	70	0.0601505424	0.253568736
32	72	0.0641508985	0.261748372
33	74	0.0679642974	0.269928009
34	76	0.0719915976	0.278107645
35	78	0.0762461217	0.286287282
36	80	0.0801654715	0.294466919
37	82	0.0841199933	0.302646555
38	84	0.0878636834	0.310826192
39	86	0.0917444865	0.319005829
40	87	0.0954826624	0.327185465
41	90	0.0993599312	0.335365102
42	92	0.103332995	0.343544739
43	93	0.107158291	0.351724375
44	95	0.110923427	0.359904012
45	97	0.115252517	0.368083648
46	99	0.118813492	0.376263285
47	100	0.122805632	0.384442922
48	102	0.126032767	0.392622558
49	104	0.129827582	0.400802195
50	106	0.133369001	0.408981832
51	108	0.137071417	0.417161468
52	109	0.14078467	0.425341105
53	111	0.144756092	0.433520741
54	113	0.148473049	0.441700378
55	115	0.15214298	0.449880015
56	117	0.155638806	0.458059651
57	119	0.15873993	0.466239288
58	121	0.162108991	0.474418925
59	123	0.165596977	0.482598561
60	124	0.169249515	0.490778198
61	126	0.172431424	0.498957835
62	128	0.176340411	0.507137471
63	130	0.180219136	0.515317108
64	132	0.18367959	0.523496744
65	134	0.18676813	0.531676381
66	135	0.190515721	0.539856018
67	137	0.194209665	0.548035654
68	139	0.197824121	0.556215291
69	141	0.201370311	0.564394928
70	143	0.204862666	0.572574564
71	144	0.208489245	0.580754201
72	146	0.212008649	0.588933837
73	148	0.215851624	0.597113474
74	150	0.219290809	0.605293111
75	152	0.223067096	0.613472747
76	153	0.226821989	0.621652384
77	155	0.230547802	0.629832021
78	157	0.233840574	0.638011657
79	159	0.23748547	0.646191294
80	160	0.241335228	0.654370931
81	162	0.244287886	0.662550567
82	164	0.248139202	0.670730204
83	166	0.251714054	0.67890984
84	168	0.255723687	0.687089477
85	170	0.259110105	0.695269114
86	171	0.262461801	0.70344875
87	173	0.265734663	0.711628387
88	175	0.269563771	0.719808024
89	176	0.273045591	0.72798766
90	178	0.276594914	0.736167297
91	180	0.280015371	0.744346933
92	181	0.283500064	0.75252657
93	183	0.286661217	0.760706207
94	185	0.290200033	0.768885843
95	186	0.29383373	0.77706548
96	188	0.297252246	0.785245117
97	190	0.30088985	0.793424753
98	192	0.304519756	0.80160439
99	193	0.307873072	0.809784027
100	195	0.311990966	0.817963663
101	213	0.31555314	0.8261433
102	215	0.319378999	0.834322936
103	216	0.322508089	0.842502573
104	218	0.325895129	0.85068221
105	220	0.329458081	0.858861846
106	221	0.333358021	0.867041483
107	223	0.33661452	0.87522112
108	225	0.340443258	0.883400756
109	226	0.344000337	0.891580393
110	228	0.347181137	0.899760029
111	230	0.350515304	0.907939666
112	231	0.353846367	0.916119303
113	233	0.357536333	0.924298939
114	235	0.361314065	0.932478576
115	236	0.364925535	0.940658213
116	238	0.36837373	0.948837849
117	240	0.371300071	0.957017486
118	241	0.374807094	0.965197123
119	243	0.377977201	0.973376759
120	245	0.381932526	0.981556396
121	247	0.385280368	0.989736032
122	248	0.389073867	0.997915669
123	250	0.392025716	1.00609531
124	252	0.395841836	1.01427494
125	253	0.399396118	1.02245458
126	255	0.403038252	1.03063422
127	257	0.406656395	1.03881385
128	258	0.410360492	1.04699349
129	261	0.413736283	1.05517313
130	262	0.417644158	1.06335276
131	264	0.421252694	1.0715324
132	266	0.42511988	1.07971204
133	268	0.428768493	1.08789167
134	269	0.432300808	1.09607131
135	271	0.43618608	1.10425095
136	273	0.439515647	1.11243058
137	274	0.442823138	1.12061022
138	276	0.44643131	1.12878986
139	278	0.449935237	1.13696949
140	280	0.453724359	1.14514913
141	282	0.457498648	1.15332877
142	284	0.460958308	1.1615084
143	286	0.464644516	1.16968804
144	287	0.468559786	1.17786767
145	289	0.472297804	1.18604731
146	291	0.475823268	1.19422695
147	293	0.479102144	1.20240658
148	295	0.482838371	1.21058622
149	297	0.485959365	1.21876586
150	299	0.489442049	1.22694549
151	300	0.493127949	1.23512513
152	302	0.496053771	1.24330477
153	304	0.499941349	1.2514844
154	305	0.503486645	1.25966404
155	307	0.507449086	1.26784368
156	309	0.511117061	1.27602331
157	310	0.514947008	1.28420295
158	312	0.518332012	1.29238259
159	314	0.521931848	1.30056222
160	315	0.525466511	1.30874186
161	317	0.528894438	1.3169215
162	319	0.532225508	1.32510113
163	321	0.535848399	1.33328077
164	323	0.539145894	1.34146041
165	325	0.542209258	1.34964004
166	326	0.545703137	1.35781968
167	328	0.549442014	1.36599932
168	330	0.552844929	1.37417895
169	332	0.556460497	1.38235859
170	334	0.559888163	1.39053823
171	335	0.563600926	1.39871786
172	337	0.567190311	1.4068975
173	339	0.570883938	1.41507714
174	341	0.574695782	1.42325677
175	342	0.578189751	1.43143641
176	344	0.581273465	1.43961605
177	346	0.585371309	1.44779568
178	348	0.589100071	1.45597532
179	349	0.592428221	1.46415496
180	351	0.595990794	1.47233459
181	353	0.599688502	1.48051423
182	354	0.603300956	1.48869387
183	356	0.60664924	1.4968735
184	358	0.609968684	1.50505314
185	360	0.613708138	1.51323278
186	362	0.617398362	1.52141241
187	364	0.620811294	1.52959205
188	365	0.624497346	1.53777169
189	367	0.628229415	1.54595132
190	369	0.631755218	1.55413096
191	371	0.63551186	1.5623106
192	373	0.639316797	1.57049023
193	374	0.642859624	1.57866987
194	376	0.646345235	1.58684951
195	378	0.650079592	1.59502914
196	380	0.652694886	1.60320878
197	382	0.656361473	1.61138842
198	383	0.660119523	1.61956805
199	385	0.664175282	1.62774769
200	387	0.667923262	1.63592733
201	405	0.671126844	1.64410696
202	406	0.674593014	1.6522866
203	408	0.678375098	1.66046624
204	410	0.682008868	1.66864587
205	412	0.685428676	1.67682551
206	414	0.688797021	1.68500515
207	415	0.692442214	1.69318478
208	417	0.695898449	1.70136442
209	419	0.699541078	1.70954406
210	421	0.703106553	1.71772369
211	423	0.706465196	1.72590333
212	424	0.710051465	1.73408297
213	426	0.713540384	1.7422626
214	428	0.717241332	1.75044224
215	430	0.720957016	1.75862188
216	432	0.724594194	1.76680151
217	433	0.727812572	1.77498115
218	435	0.731522447	1.78316079
219	437	0.734830738	1.79134042
220	439	0.738339164	1.79952006
221	441	0.742491169	1.8076997
222	442	0.746516539	1.81587933
223	444	0.750193229	1.82405897
224	446	0.753661767	1.83223861
225	448	0.757204162	1.84041824
226	450	0.760656539	1.84859788
227	451	0.764059846	1.85677752
228	453	0.767750274	1.86495715
229	455	0.771486934	1.87313679
230	457	0.77473532	1.88131643
231	459	0.778069364	1.88949606
232	461	0.781523952	1.8976757
233	462	0.785368351	1.90585534
234	464	0.789005983	1.91403497
235	466	0.792751506	1.92221461
236	468	0.796456563	1.93039425
237	470	0.799691966	1.93857388
238	472	0.803096234	1.94675352
239	474	0.806680371	1.95493315
240	475	0.809725331	1.96311279
241	477	0.813507402	1.97129243
242	479	0.817290324	1.97947206
243	481	0.821320067	1.9876517
244	482	0.825038621	1.99583134
245	484	0.82856642	2.00401097
246	486	0.832101356	2.01219061
247	488	0.835748753	2.02037025
248	489	0.83915755	2.02854988
249	491	0.842551467	2.03672952
250	493	0.846174691	2.04490916
251	495	0.849317193	2.05308879
252	497	0.853052406	2.06126843
253	499	0.856783894	2.06944807
254	500	0.860068507	2.0776277
255	502	0.863820845	2.08580734
256	504	0.867381965	2.09398698
257	505	0.871056223	2.10216661
258	507	0.874779353	2.11034625
259	509	0.878595417	2.11852589
260	511	0.882199877	2.12670552
261	513	0.885744659	2.13488516
262	515	0.889628617	2.1430648
263	516	0.89342154	2.15124443
264	518	0.897463984	2.15942407
265	520	0.901392598	2.16760371
266	522	0.905279932	2.17578334
